alpha,max_iter,tol,train_accuracy,train_precision,train_recall,train_f1,test_accuracy,test_precision,test_recall,test_f1,diff_accuracy
0.01,1000,0.0001,0.9495934959349593,0.9562780269058296,0.9404630650496141,0.9483046136742634,0.9047619047619048,0.9178082191780822,0.8854625550660793,0.9013452914798207,0.044831591173054575
0.001,10000,1e-05,0.9479674796747968,0.9571589627959414,0.9360529217199559,0.9464882943143813,0.9025974025974026,0.9252336448598131,0.8722466960352423,0.8979591836734694,0.045370077077394155
0.01,10000,0.0001,0.9468834688346883,0.9550056242969629,0.9360529217199559,0.9454342984409799,0.8982683982683982,0.9166666666666666,0.8722466960352423,0.8939051918735892,0.04861507056629011
0.01,1000,1e-05,0.959349593495935,0.9663677130044843,0.9503858875413451,0.9583101723179545,0.8961038961038961,0.9162790697674419,0.8678414096916299,0.8914027149321267,0.06324569739203889
0.01,100,1e-05,0.9084010840108401,0.9183673469387755,0.8930540242557883,0.9055338177752935,0.8896103896103896,0.9230769230769231,0.8458149779735683,0.8827586206896552,0.018790694400450447
0.01,10000,1e-05,0.991869918699187,0.9933628318584071,0.9900771775082691,0.9917172832689122,0.8852813852813853,0.8954545454545455,0.8678414096916299,0.8814317673378076,0.10658853341780161
0.01,1000,0.001,0.9024390243902439,0.9116647791619479,0.8875413450937155,0.8994413407821229,0.8722943722943723,0.8888888888888888,0.8458149779735683,0.8668171557562077,0.030144652095871582
0.0001,10000,1e-05,0.8991869918699187,0.9091940976163451,0.8831312017640573,0.8959731543624161,0.8658008658008658,0.8873239436619719,0.8325991189427313,0.8590909090909091,0.03338612606905289
0.01,100,0.001,0.9013550135501355,0.9142857142857143,0.8820286659316428,0.8978675645342312,0.8658008658008658,0.8767123287671232,0.8458149779735683,0.8609865470852018,0.03555414774926968
0.001,1000,1e-05,0.9084010840108401,0.9193181818181818,0.8919514884233738,0.9054280917739228,0.8636363636363636,0.883177570093458,0.8325991189427313,0.8571428571428571,0.04476472037447643
0.01,10000,0.001,0.8981029810298103,0.9062146892655367,0.8842337375964718,0.8950892857142857,0.8593073593073594,0.8715596330275229,0.8370044052863436,0.8539325842696629,0.03879562172245099
0.001,10000,0.0001,0.8981029810298103,0.9099201824401368,0.8798235942668137,0.8946188340807175,0.8571428571428571,0.867579908675799,0.8370044052863436,0.852017937219731,0.04096012388695325
0.001,1000,0.0001,0.9056910569105691,0.9113355780022446,0.8952590959206174,0.9032258064516129,0.854978354978355,0.8738317757009346,0.8237885462555066,0.8480725623582767,0.05071270193221411
0.01,100,0.0001,0.9116531165311653,0.918918918918919,0.8996692392502756,0.909192200557103,0.8484848484848485,0.8651162790697674,0.8193832599118943,0.8416289592760181,0.06316826804631681
0.001,1000,0.001,0.8216802168021681,0.8291571753986332,0.802646085997795,0.8156862745098039,0.8181818181818182,0.8235294117647058,0.801762114537445,0.8125,0.0034983986203498407
0.0001,10000,0.0001,0.8249322493224932,0.8230088495575221,0.8202866593164277,0.8216454997239094,0.8095238095238095,0.817351598173516,0.788546255506608,0.8026905829596412,0.01540843979868367
0.0001,1000,1e-05,0.8124661246612466,0.8099447513812155,0.8081587651598677,0.8090507726269316,0.8095238095238095,0.7957446808510639,0.8237885462555066,0.8095238095238095,0.002942315137437035
0.001,100,0.001,0.8281842818428184,0.8329571106094809,0.8136714443219405,0.8232013385387619,0.8051948051948052,0.815668202764977,0.7797356828193832,0.7972972972972973,0.022989476648013207
0.001,100,0.0001,0.8178861788617886,0.8106637649619152,0.8213891951488423,0.8159912376779846,0.803030303030303,0.7956521739130434,0.8061674008810573,0.8008752735229759,0.014855875831485621
0.0001,1000,0.0001,0.8233062330623306,0.8304891922639362,0.804851157662624,0.8174692049272116,0.7878787878787878,0.7841409691629956,0.7841409691629956,0.7841409691629956,0.035427445183542794
0.001,10000,0.001,0.8276422764227642,0.829050279329609,0.8180815876515987,0.8235294117647058,0.7857142857142857,0.7990654205607477,0.7533039647577092,0.7755102040816326,0.041927990708478524
0.001,100,1e-05,0.8016260162601626,0.8042744656917885,0.7883131201764058,0.7962138084632516,0.7792207792207793,0.7802690582959642,0.7665198237885462,0.7733333333333333,0.022405237039383352
0.0001,100,0.0001,0.5842818428184282,0.5738396624472574,0.5997794928335171,0.5865229110512129,0.6017316017316018,0.5930735930735931,0.6035242290748899,0.5982532751091703,-0.017449758913173574
0.0001,100,1e-05,0.5571815718157181,0.5501113585746102,0.5446527012127894,0.5473684210526316,0.5541125541125541,0.5492957746478874,0.5154185022026432,0.5318181818181819,0.003069017703164034
0.0001,1000,0.001,0.5365853658536586,0.5268041237113402,0.5633958103638368,0.5444858817261587,0.49783549783549785,0.4897959183673469,0.5286343612334802,0.5084745762711864,0.038749868018160716
0.0001,100,0.001,0.4693766937669377,0.46218487394957986,0.48511576626240355,0.47337278106508873,0.4588744588744589,0.45021645021645024,0.4581497797356828,0.45414847161572053,0.010502234892478812
0.0001,10000,0.001,0.4384823848238482,0.43491422805247226,0.47519294377067256,0.4541622760800843,0.4090909090909091,0.40725806451612906,0.44493392070484583,0.42526315789473684,0.0293914757329391
