C,kernel,gamma,train_accuracy,train_precision,train_recall,train_f1,test_accuracy,test_precision,test_recall,test_f1,diff_accuracy,n_support_vectors
0.001,linear,scale,0.9517615176151761,0.9605855855855856,0.9404630650496141,0.9504178272980501,0.8982683982683982,0.9166666666666666,0.8722466960352423,0.8939051918735892,0.05349311934677792,665
0.001,linear,auto,0.9517615176151761,0.9605855855855856,0.9404630650496141,0.9504178272980501,0.8982683982683982,0.9166666666666666,0.8722466960352423,0.8939051918735892,0.05349311934677792,665
0.001,linear,0.1,0.9517615176151761,0.9605855855855856,0.9404630650496141,0.9504178272980501,0.8982683982683982,0.9166666666666666,0.8722466960352423,0.8939051918735892,0.05349311934677792,665
0.001,linear,1,0.9517615176151761,0.9605855855855856,0.9404630650496141,0.9504178272980501,0.8982683982683982,0.9166666666666666,0.8722466960352423,0.8939051918735892,0.05349311934677792,665
0.01,linear,scale,0.9907859078590786,0.9933481152993349,0.9878721058434399,0.9906025428413489,0.8831168831168831,0.8914027149321267,0.8678414096916299,0.8794642857142857,0.10766902474219553,518
0.01,linear,1,0.9907859078590786,0.9933481152993349,0.9878721058434399,0.9906025428413489,0.8831168831168831,0.8914027149321267,0.8678414096916299,0.8794642857142857,0.10766902474219553,518
0.01,linear,0.1,0.9907859078590786,0.9933481152993349,0.9878721058434399,0.9906025428413489,0.8831168831168831,0.8914027149321267,0.8678414096916299,0.8794642857142857,0.10766902474219553,518
0.01,linear,auto,0.9907859078590786,0.9933481152993349,0.9878721058434399,0.9906025428413489,0.8831168831168831,0.8914027149321267,0.8678414096916299,0.8794642857142857,0.10766902474219553,518
0.1,linear,1,1.0,1.0,1.0,1.0,0.8722943722943723,0.875,0.8634361233480177,0.8691796008869179,0.12770562770562766,496
0.1,linear,0.1,1.0,1.0,1.0,1.0,0.8722943722943723,0.875,0.8634361233480177,0.8691796008869179,0.12770562770562766,496
0.1,linear,auto,1.0,1.0,1.0,1.0,0.8722943722943723,0.875,0.8634361233480177,0.8691796008869179,0.12770562770562766,496
0.1,linear,scale,1.0,1.0,1.0,1.0,0.8722943722943723,0.875,0.8634361233480177,0.8691796008869179,0.12770562770562766,496
0.0001,linear,auto,0.9008130081300812,0.918013856812933,0.87651598676957,0.8967851099830795,0.8636363636363636,0.8904761904761904,0.8237885462555066,0.8558352402745996,0.0371766444937176,1092
0.0001,linear,scale,0.9008130081300812,0.918013856812933,0.87651598676957,0.8967851099830795,0.8636363636363636,0.8904761904761904,0.8237885462555066,0.8558352402745996,0.0371766444937176,1092
0.0001,linear,0.1,0.9008130081300812,0.918013856812933,0.87651598676957,0.8967851099830795,0.8636363636363636,0.8904761904761904,0.8237885462555066,0.8558352402745996,0.0371766444937176,1092
0.0001,linear,1,0.9008130081300812,0.918013856812933,0.87651598676957,0.8967851099830795,0.8636363636363636,0.8904761904761904,0.8237885462555066,0.8558352402745996,0.0371766444937176,1092
0.1,rbf,auto,0.8775067750677507,0.8954703832752613,0.8500551267916208,0.8721719457013575,0.8398268398268398,0.8525345622119815,0.8149779735682819,0.8333333333333334,0.037679935240910845,1511
0.1,rbf,scale,0.8775067750677507,0.8954703832752613,0.8500551267916208,0.8721719457013575,0.8398268398268398,0.8525345622119815,0.8149779735682819,0.8333333333333334,0.037679935240910845,1511
0.001,rbf,0.1,0.50840108401084,1.0,0.0,0.0,0.5086580086580087,1.0,0.0,0.0,-0.0002569246471686437,1844
0.001,rbf,1,0.50840108401084,1.0,0.0,0.0,0.5086580086580087,1.0,0.0,0.0,-0.0002569246471686437,1844
0.1,rbf,0.1,0.50840108401084,1.0,0.0,0.0,0.5086580086580087,1.0,0.0,0.0,-0.0002569246471686437,1844
0.0001,rbf,scale,0.50840108401084,1.0,0.0,0.0,0.5086580086580087,1.0,0.0,0.0,-0.0002569246471686437,1814
0.0001,rbf,auto,0.50840108401084,1.0,0.0,0.0,0.5086580086580087,1.0,0.0,0.0,-0.0002569246471686437,1814
0.01,rbf,1,0.50840108401084,1.0,0.0,0.0,0.5086580086580087,1.0,0.0,0.0,-0.0002569246471686437,1844
0.01,rbf,0.1,0.50840108401084,1.0,0.0,0.0,0.5086580086580087,1.0,0.0,0.0,-0.0002569246471686437,1844
0.01,rbf,auto,0.50840108401084,1.0,0.0,0.0,0.5086580086580087,1.0,0.0,0.0,-0.0002569246471686437,1817
0.01,rbf,scale,0.50840108401084,1.0,0.0,0.0,0.5086580086580087,1.0,0.0,0.0,-0.0002569246471686437,1817
0.0001,rbf,0.1,0.50840108401084,1.0,0.0,0.0,0.5086580086580087,1.0,0.0,0.0,-0.0002569246471686437,1814
0.0001,rbf,1,0.50840108401084,1.0,0.0,0.0,0.5086580086580087,1.0,0.0,0.0,-0.0002569246471686437,1814
0.001,rbf,scale,0.50840108401084,1.0,0.0,0.0,0.5086580086580087,1.0,0.0,0.0,-0.0002569246471686437,1814
0.001,rbf,auto,0.50840108401084,1.0,0.0,0.0,0.5086580086580087,1.0,0.0,0.0,-0.0002569246471686437,1814
0.1,rbf,1,0.50840108401084,1.0,0.0,0.0,0.5086580086580087,1.0,0.0,0.0,-0.0002569246471686437,1844
